show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description
s708,Movie,Title 708,Director 133,Actor 362,"Netherlands, Italy","August 04, 2025",2003,TV-PG,1 Seasons,"Sci-Fi, Thriller, Drama",Description for title 708
s709,TV Show,Title 709,Director 68,Actor 381,"Canada, Germany, Mexico","February 18, 2023",2001,PG,1 Seasons,Animation,Description for title 709
s710,TV Show,Title 710,Director 136,Actor 48,"United Kingdom, South Korea, Brazil","January 25, 2023",2012,TV-Y7,42 min,"Comedy, Adventure",Description for title 710
s711,Movie,Title 711,Director 20,Actor 276,"India, United Kingdom, United States","January 02, 2022",2001,PG-13,136 min,"Horror, Documentary, Comedy",Description for title 711
s712,Movie,Title 712,Director 23,Actor 270,Canada,"February 06, 2021",2019,TV-14,73 min,"Adventure, Drama",Description for title 712
s713,Movie,Title 713,Director 3,Actor 13,Spain,"June 26, 2021",2016,TV-Y,5 Seasons,"Adventure, Sci-Fi",Description for title 713
s714,Movie,Title 714,Director 151,Actor 297,"Spain, Japan","March 09, 2021",2013,NC-17,1 Seasons,"Sci-Fi, Adventure, Thriller",Description for title 714
s715,TV Show,Title 715,Director 186,Actor 491,United Kingdom,"May 24, 2019",1992,TV-Y,67 min,"Horror, Fantasy",Description for title 715
s716,TV Show,Title 716,Director 2,Actor 463,"France, Italy, Australia","March 20, 2019",2019,TV-14,8 Seasons,"Sci-Fi, Thriller, Animation",Description for title 716
s717,TV Show,Title 717,Director 67,Actor 14,"Spain, United Kingdom, Brazil","April 17, 2025",2022,NC-17,163 min,"Drama, Thriller, Sci-Fi",Description for title 717
s718,Movie,Title 718,Director 100,Actor 233,"Italy, South Korea, Germany","February 05, 2020",2005,TV-PG,90 min,Fantasy,Description for title 718
s719,TV Show,Title 719,Director 167,Actor 62,"Spain, Italy, Canada","August 14, 2024",2007,TV-G,13 Seasons,"Animation, Romance, Documentary",Description for title 719
s720,TV Show,Title 720,Director 175,Actor 195,"Mexico, Brazil, United States","June 14, 2022",2007,G,91 min,Crime,Description for title 720
s721,Movie,Title 721,Director 53,Actor 26,Canada,"November 23, 2022",2003,TV-PG,126 min,"Adventure, Documentary",Description for title 721
s722,Movie,Title 722,Director 34,Actor 470,Japan,"November 06, 2019",2021,PG,10 Seasons,"Fantasy, Sci-Fi, Documentary",Description for title 722
s723,TV Show,Title 723,Director 55,Actor 92,"India, United Kingdom","December 14, 2022",2001,NC-17,82 min,"Horror, Action",Description for title 723
s724,Movie,Title 724,Director 107,Actor 104,"Australia, Germany","June 15, 2018",1991,TV-Y,131 min,Romance,Description for title 724
s725,TV Show,Title 725,Director 39,Actor 308,"India, Japan, South Korea","September 20, 2021",2015,TV-14,151 min,Adventure,Description for title 725
s726,Movie,Title 726,Director 67,Actor 51,Brazil,"October 21, 2018",2012,G,7 Seasons,"Thriller, Comedy",Description for title 726
s727,TV Show,Title 727,Director 45,Actor 318,India,"April 13, 2020",2022,TV-Y7,80 min,"Fantasy, Thriller, Animation",Description for title 727
s728,Movie,Title 728,Director 77,Actor 456,India,"May 27, 2018",2014,TV-G,121 min,"Sci-Fi, Romance, Animation",Description for title 728
s729,Movie,Title 729,Director 140,Actor 180,"Canada, United Kingdom, Japan","May 13, 2024",1993,G,48 min,Drama,Description for title 729
s730,Movie,Title 730,Director 154,Actor 56,"India, Canada","July 29, 2025",2010,TV-MA,4 Seasons,"Horror, Action",Description for title 730
s731,TV Show,Title 731,Director 5,Actor 119,Australia,"August 08, 2020",1993,TV-14,141 min,Drama,Description for title 731
s732,TV Show,Title 732,Director 16,Actor 307,Netherlands,"January 11, 2026",2020,R,9 Seasons,"Thriller, Documentary",Description for title 732
s733,Movie,Title 733,Director 163,Actor 362,"United Kingdom, United States","February 24, 2023",2004,PG,69 min,"Crime, Action, Thriller",Description for title 733
s734,Movie,Title 734,Director 98,Actor 42,South Korea,"December 01, 2017",1993,NC-17,8 Seasons,"Adventure, Romance",Description for title 734
s735,TV Show,Title 735,Director 80,Actor 134,Germany,"July 27, 2024",1993,PG,133 min,Comedy,Description for title 735
s736,Movie,Title 736,Director 1,Actor 372,"Australia, Spain, South Korea","January 09, 2019",1992,TV-PG,13 Seasons,"Documentary, Thriller, Crime",Description for title 736
s737,TV Show,Title 737,Director 76,Actor 425,"Australia, India","February 23, 2019",1994,TV-PG,135 min,Horror,Description for title 737
s738,Movie,Title 738,Director 179,Actor 259,"Canada, Japan","July 30, 2021",2008,TV-14,9 Seasons,Horror,Description for title 738
s739,Movie,Title 739,Director 65,Actor 196,"France, United States","July 18, 2022",2021,NC-17,58 min,Drama,Description for title 739
s740,Movie,Title 740,Director 51,Actor 132,"Australia, Canada, United Kingdom","July 10, 2024",1998,NC-17,5 Seasons,"Thriller, Comedy, Animation",Description for title 740
s741,Movie,Title 741,Director 91,Actor 458,"Spain, Japan","January 25, 2018",1992,R,14 Seasons,"Documentary, Comedy",Description for title 741
s742,TV Show,Title 742,Director 170,Actor 254,"Canada, Turkey, Australia","May 22, 2024",2023,G,68 min,"Animation, Adventure, Romance",Description for title 742
s743,Movie,Title 743,Director 21,Actor 488,"India, South Korea, Brazil","May 15, 2025",2014,TV-14,123 min,"Comedy, Drama, Action",Description for title 743
s744,Movie,Title 744,Director 110,Actor 219,"Brazil, India","April 28, 2018",1999,PG-13,108 min,"Drama, Horror",Description for title 744
s745,TV Show,Title 745,Director 106,Actor 335,"France, Spain","March 06, 2025",2021,R,164 min,"Romance, Crime, Animation",Description for title 745
s746,Movie,Title 746,Director 182,Actor 40,"Mexico, United Kingdom, India","July 22, 2022",1994,TV-Y7,80 min,Documentary,Description for title 746
s747,Movie,Title 747,Director 66,Actor 477,"India, Australia, France","December 25, 2023",2018,TV-Y7,6 Seasons,"Romance, Thriller",Description for title 747
s748,TV Show,Title 748,Director 187,Actor 387,Italy,"January 12, 2021",1996,TV-MA,11 Seasons,"Romance, Documentary",Description for title 748
s749,Movie,Title 749,Director 185,Actor 254,"Italy, Brazil","October 13, 2019",2004,TV-Y7,70 min,"Thriller, Comedy, Romance",Description for title 749
s750,Movie,Title 750,Director 139,Actor 1,Spain,"September 03, 2025",1991,TV-Y7,148 min,"Sci-Fi, Documentary, Comedy",Description for title 750
s751,TV Show,Title 751,Director 68,Actor 493,"Brazil, Turkey","October 26, 2019",1999,TV-MA,85 min,Documentary,Description for title 751
s752,Movie,Title 752,Director 83,Actor 194,Netherlands,"October 15, 2024",2000,R,14 Seasons,"Thriller, Sci-Fi",Description for title 752
s753,Movie,Title 753,Director 102,Actor 241,"Italy, Australia, Turkey","August 11, 2021",2010,TV-PG,40 min,"Horror, Sci-Fi, Documentary",Description for title 753
s754,Movie,Title 754,Director 38,Actor 148,"Japan, France","December 30, 2017",2001,R,57 min,"Comedy, Drama, Documentary",Description for title 754
s755,TV Show,Title 755,Director 12,Actor 197,"United States, Germany","May 16, 2018",1993,TV-Y,152 min,"Sci-Fi, Comedy",Description for title 755
s756,Movie,Title 756,Director 40,Actor 298,"Brazil, France, Germany","November 13, 2017",2017,G,3 Seasons,"Fantasy, Action",Description for title 756
s757,Movie,Title 757,Director 56,Actor 244,"South Korea, India","January 03, 2023",2018,G,11 Seasons,"Horror, Fantasy, Romance",Description for title 757
s758,TV Show,Title 758,Director 180,Actor 337,Netherlands,"November 15, 2017",2002,TV-Y,51 min,"Documentary, Fantasy, Horror",Description for title 758
s759,TV Show,Title 759,Director 11,Actor 107,"Japan, India, Italy","December 08, 2022",2007,G,43 min,Comedy,Description for title 759
s760,Movie,Title 760,Director 12,Actor 452,India,"November 09, 2025",2016,G,63 min,"Romance, Fantasy",Description for title 760
s761,Movie,Title 761,Director 119,Actor 392,"South Korea, Mexico, Turkey","April 02, 2022",1992,TV-Y,128 min,Documentary,Description for title 761
s762,Movie,Title 762,Director 96,Actor 211,Japan,"July 09, 2020",2011,TV-G,60 min,"Documentary, Sci-Fi, Crime",Description for title 762
s763,TV Show,Title 763,Director 56,Actor 155,"United Kingdom, Turkey","April 06, 2025",2006,TV-PG,6 Seasons,"Action, Sci-Fi",Description for title 763
s764,Movie,Title 764,Director 39,Actor 25,"Germany, Spain","January 11, 2022",2017,TV-Y,13 Seasons,"Drama, Romance",Description for title 764
s765,Movie,Title 765,Director 117,Actor 81,"South Korea, Italy","January 10, 2020",2005,G,76 min,Action,Description for title 765
s766,TV Show,Title 766,Director 79,Actor 82,"Spain, South Korea, Italy","December 01, 2021",1994,TV-Y7,1 Seasons,"Drama, Horror, Animation",Description for title 766
s767,TV Show,Title 767,Director 127,Actor 130,Mexico,"November 02, 2024",2011,PG,115 min,Adventure,Description for title 767
s768,Movie,Title 768,Director 172,Actor 328,Japan,"July 11, 2023",2006,TV-Y7,117 min,Fantasy,Description for title 768
s769,TV Show,Title 769,Director 34,Actor 99,"Germany, Australia","October 05, 2022",2000,TV-14,156 min,"Comedy, Horror, Sci-Fi",Description for title 769
s770,Movie,Title 770,Director 2,Actor 255,"United States, Netherlands, Turkey","April 19, 2021",2011,TV-14,1 Seasons,Sci-Fi,Description for title 770
s771,TV Show,Title 771,Director 119,Actor 478,"Mexico, India","September 22, 2021",1992,R,10 Seasons,"Adventure, Animation, Sci-Fi",Description for title 771
s772,Movie,Title 772,Director 4,Actor 48,"Italy, United States","October 21, 2018",2016,G,153 min,"Thriller, Documentary, Horror",Description for title 772
s773,Movie,Title 773,Director 10,Actor 400,"United Kingdom, Netherlands, Germany","January 07, 2024",2002,TV-MA,111 min,Comedy,Description for title 773
s774,TV Show,Title 774,Director 125,Actor 62,"France, India","July 25, 2018",2002,TV-PG,8 Seasons,"Action, Romance",Description for title 774
s775,Movie,Title 775,Director 70,Actor 310,"Germany, Australia, Japan","December 04, 2018",2019,G,65 min,"Thriller, Fantasy",Description for title 775
s776,Movie,Title 776,Director 116,Actor 406,"Italy, United Kingdom, Spain","February 04, 2024",2007,TV-Y7,1 Seasons,"Animation, Romance, Crime",Description for title 776
s777,TV Show,Title 777,Director 183,Actor 289,Brazil,"December 19, 2020",2022,TV-Y,12 Seasons,"Comedy, Animation",Description for title 777
s778,TV Show,Title 778,Director 137,Actor 104,"India, Brazil","May 31, 2019",2006,TV-Y7,88 min,"Crime, Horror, Drama",Description for title 778
s779,Movie,Title 779,Director 105,Actor 104,"Spain, Netherlands","April 05, 2019",1999,TV-14,7 Seasons,"Romance, Animation",Description for title 779
s780,TV Show,Title 780,Director 115,Actor 324,Brazil,"October 06, 2018",2013,G,10 Seasons,"Adventure, Fantasy",Description for title 780
s781,Movie,Title 781,Director 161,Actor 14,"Japan, Turkey, Brazil","April 13, 2022",2018,G,152 min,"Comedy, Animation, Action",Description for title 781
s782,Movie,Title 782,Director 66,Actor 174,"Italy, Spain","December 06, 2017",1997,TV-Y,2 Seasons,"Fantasy, Romance, Action",Description for title 782
s783,Movie,Title 783,Director 199,Actor 258,India,"February 01, 2019",2003,TV-G,68 min,"Romance, Drama",Description for title 783
s784,Movie,Title 784,Director 30,Actor 210,Italy,"November 03, 2022",2018,TV-MA,6 Seasons,"Thriller, Action, Romance",Description for title 784
s785,TV Show,Title 785,Director 74,Actor 411,Australia,"November 10, 2018",1996,PG-13,123 min,"Action, Adventure",Description for title 785
s786,Movie,Title 786,Director 70,Actor 258,"Germany, Canada, Japan","August 02, 2021",2014,TV-14,175 min,"Horror, Comedy",Description for title 786
s787,Movie,Title 787,Director 65,Actor 101,"Spain, India","November 20, 2019",2019,TV-MA,175 min,"Horror, Action",Description for title 787
s788,Movie,Title 788,Director 69,Actor 259,Turkey,"January 15, 2021",2017,PG,48 min,Action,Description for title 788
s789,TV Show,Title 789,Director 40,Actor 343,Netherlands,"September 22, 2020",1999,R,14 Seasons,Animation,Description for title 789
s790,Movie,Title 790,Director 190,Actor 158,"Brazil, Germany","April 23, 2019",2023,TV-G,97 min,"Fantasy, Romance",Description for title 790
s791,Movie,Title 791,Director 159,Actor 44,France,"June 11, 2025",2005,TV-PG,133 min,"Adventure, Sci-Fi, Crime",Description for title 791
s792,Movie,Title 792,Director 19,Actor 442,"Germany, Australia, Mexico","March 20, 2018",1999,TV-MA,5 Seasons,Adventure,Description for title 792
s793,Movie,Title 793,Director 184,Actor 300,Australia,"February 13, 2021",2018,TV-Y,87 min,Crime,Description for title 793
s794,Movie,Title 794,Director 177,Actor 250,"Brazil, Australia, Mexico","November 25, 2017",2004,TV-Y7,11 Seasons,"Crime, Adventure",Description for title 794
s795,TV Show,Title 795,Director 152,Actor 330,United Kingdom,"May 10, 2024",2017,G,5 Seasons,Fantasy,Description for title 795
s796,TV Show,Title 796,Director 139,Actor 164,"United States, Australia, Germany","May 11, 2025",2013,NC-17,4 Seasons,"Adventure, Fantasy",Description for title 796
s797,Movie,Title 797,Director 198,Actor 192,"Spain, France","August 10, 2020",2009,TV-Y,127 min,"Drama, Adventure, Documentary",Description for title 797
s798,TV Show,Title 798,Director 38,Actor 8,"Germany, Italy, United Kingdom","May 22, 2018",2018,TV-14,68 min,Comedy,Description for title 798
s799,TV Show,Title 799,Director 144,Actor 400,"Brazil, Italy","February 02, 2024",1991,TV-Y,59 min,"Animation, Action, Comedy",Description for title 799
s800,TV Show,Title 800,Director 44,Actor 373,Netherlands,"March 29, 2019",2021,TV-Y,14 Seasons,"Drama, Adventure",Description for title 800
s801,Movie,Title 801,Director 138,Actor 64,"France, United States, United Kingdom","August 17, 2024",2019,TV-Y7,76 min,Horror,Description for title 801
s802,Movie,Title 802,Director 69,Actor 386,"United Kingdom, India, Mexico","August 14, 2020",1998,R,140 min,"Sci-Fi, Adventure, Fantasy",Description for title 802
s803,Movie,Title 803,Director 124,Actor 494,United Kingdom,"August 25, 2023",2008,NC-17,1 Seasons,"Crime, Drama",Description for title 803
s804,Movie,Title 804,Director 150,Actor 281,Netherlands,"April 04, 2018",1995,TV-Y,54 min,"Crime, Documentary",Description for title 804
s805,TV Show,Title 805,Director 90,Actor 180,"Spain, India, France","February 10, 2024",1997,TV-PG,44 min,"Fantasy, Comedy, Horror",Description for title 805
s806,TV Show,Title 806,Director 69,Actor 414,"Spain, Netherlands","April 13, 2023",2023,R,1 Seasons,"Action, Animation",Description for title 806
s807,TV Show,Title 807,Director 165,Actor 281,"Japan, South Korea, Australia","October 05, 2019",1990,R,84 min,Adventure,Description for title 807
s808,Movie,Title 808,Director 129,Actor 278,Mexico,"March 30, 2022",2002,TV-Y7,86 min,Action,Description for title 808
s809,Movie,Title 809,Director 83,Actor 29,Australia,"May 16, 2022",1995,G,8 Seasons,"Romance, Action",Description for title 809
s810,TV Show,Title 810,Director 88,Actor 265,"Netherlands, Italy, Spain","November 28, 2023",2018,TV-MA,175 min,Crime,Description for title 810
s811,TV Show,Title 811,Director 78,Actor 327,Mexico,"September 17, 2021",1991,TV-Y7,14 Seasons,"Horror, Fantasy, Animation",Description for title 811
s812,Movie,Title 812,Director 112,Actor 491,Italy,"July 13, 2025",1999,TV-G,7 Seasons,"Thriller, Horror, Sci-Fi",Description for title 812
s813,TV Show,Title 813,Director 92,Actor 216,"United Kingdom, Spain","April 21, 2025",2020,PG,12 Seasons,Horror,Description for title 813
s814,TV Show,Title 814,Director 71,Actor 319,"Japan, Spain, Canada","July 15, 2022",1997,R,76 min,"Horror, Fantasy",Description for title 814
s815,Movie,Title 815,Director 164,Actor 405,"South Korea, Japan","May 01, 2024",2017,R,2 Seasons,"Documentary, Action",Description for title 815
s816,Movie,Title 816,Director 48,Actor 398,"Brazil, Germany","January 13, 2021",2020,TV-14,11 Seasons,Horror,Description for title 816
s817,Movie,Title 817,Director 51,Actor 378,"Japan, Spain","July 31, 2022",2002,TV-14,7 Seasons,"Adventure, Romance, Comedy",Description for title 817
s818,Movie,Title 818,Director 32,Actor 104,"South Korea, Germany","March 07, 2020",1996,TV-Y,6 Seasons,"Drama, Romance, Documentary",Description for title 818
s819,Movie,Title 819,Director 21,Actor 183,India,"July 16, 2018",1990,TV-Y7,115 min,"Drama, Horror",Description for title 819
s820,TV Show,Title 820,Director 113,Actor 329,France,"January 18, 2019",2015,TV-Y7,5 Seasons,Crime,Description for title 820
s821,Movie,Title 821,Director 132,Actor 147,"South Korea, Canada, Australia","May 05, 2023",2005,R,4 Seasons,Sci-Fi,Description for title 821
s822,Movie,Title 822,Director 17,Actor 104,France,"March 28, 2025",2001,PG-13,64 min,"Crime, Drama",Description for title 822
s823,Movie,Title 823,Director 165,Actor 46,Turkey,"February 15, 2019",2005,R,7 Seasons,"Comedy, Adventure, Romance",Description for title 823
s824,Movie,Title 824,Director 117,Actor 86,Italy,"December 17, 2023",2023,TV-PG,2 Seasons,"Fantasy, Romance",Description for title 824
s825,TV Show,Title 825,Director 116,Actor 308,"Australia, United Kingdom","February 19, 2022",2016,TV-14,85 min,Horror,Description for title 825
s826,Movie,Title 826,Director 36,Actor 436,"Spain, South Korea, Italy","April 17, 2019",2014,TV-MA,117 min,"Drama, Adventure",Description for title 826
s827,Movie,Title 827,Director 63,Actor 128,"Germany, Australia, Canada","April 20, 2019",2008,TV-Y7,14 Seasons,"Horror, Fantasy",Description for title 827
s828,TV Show,Title 828,Director 137,Actor 257,Germany,"December 28, 2018",1996,PG-13,13 Seasons,"Documentary, Animation",Description for title 828
s829,Movie,Title 829,Director 78,Actor 313,Mexico,"September 13, 2021",2001,PG-13,7 Seasons,Romance,Description for title 829
s830,Movie,Title 830,Director 169,Actor 146,"Japan, Mexico, Italy","August 18, 2018",2013,NC-17,44 min,"Comedy, Documentary",Description for title 830
s831,Movie,Title 831,Director 122,Actor 445,United States,"August 16, 2018",1994,TV-G,172 min,"Documentary, Romance",Description for title 831
s832,Movie,Title 832,Director 175,Actor 461,"France, Japan, India","February 15, 2020",1990,NC-17,81 min,Crime,Description for title 832
s833,Movie,Title 833,Director 43,Actor 71,Australia,"September 11, 2023",1996,TV-Y,92 min,"Documentary, Sci-Fi, Fantasy",Description for title 833
s834,Movie,Title 834,Director 81,Actor 485,Brazil,"November 09, 2021",2015,TV-PG,5 Seasons,"Action, Horror, Adventure",Description for title 834
s835,Movie,Title 835,Director 86,Actor 139,South Korea,"July 21, 2025",2013,TV-PG,99 min,Horror,Description for title 835
s836,TV Show,Title 836,Director 15,Actor 409,"Netherlands, Brazil","August 31, 2018",2006,TV-Y,58 min,"Comedy, Crime, Drama",Description for title 836
s837,Movie,Title 837,Director 53,Actor 26,"Netherlands, India, France","May 16, 2024",1993,NC-17,3 Seasons,"Comedy, Fantasy, Drama",Description for title 837
s838,Movie,Title 838,Director 101,Actor 28,"France, Turkey","February 26, 2025",2005,TV-G,9 Seasons,"Romance, Thriller",Description for title 838
s839,Movie,Title 839,Director 162,Actor 270,"Australia, Italy","July 11, 2025",1994,G,6 Seasons,Thriller,Description for title 839
s840,Movie,Title 840,Director 97,Actor 173,"United Kingdom, United States, Canada","June 01, 2023",1994,TV-MA,51 min,"Comedy, Adventure, Action",Description for title 840
s841,TV Show,Title 841,Director 155,Actor 252,"Japan, Brazil","June 12, 2018",2006,PG-13,42 min,"Fantasy, Thriller, Drama",Description for title 841
s842,Movie,Title 842,Director 1,Actor 384,"Mexico, Japan, Australia","August 07, 2018",2010,TV-Y,143 min,Drama,Description for title 842
s843,TV Show,Title 843,Director 93,Actor 59,Canada,"March 09, 2018",2019,TV-G,11 Seasons,"Sci-Fi, Documentary, Adventure",Description for title 843
s844,Movie,Title 844,Director 140,Actor 106,"Canada, Australia","June 14, 2022",2022,TV-Y,2 Seasons,"Comedy, Romance, Adventure",Description for title 844
s845,Movie,Title 845,Director 168,Actor 219,"Spain, Brazil, Canada","July 15, 2022",2012,TV-14,156 min,Romance,Description for title 845
s846,Movie,Title 846,Director 58,Actor 440,"Italy, India, Japan","May 26, 2025",2018,TV-Y,154 min,"Comedy, Adventure",Description for title 846
s847,TV Show,Title 847,Director 68,Actor 258,"Spain, Turkey","March 01, 2022",1996,R,66 min,"Drama, Action, Comedy",Description for title 847
s848,Movie,Title 848,Director 118,Actor 370,"India, South Korea, Netherlands","January 07, 2024",1996,TV-Y7,117 min,"Horror, Crime",Description for title 848
s849,Movie,Title 849,Director 91,Actor 145,"United States, Japan, Netherlands","November 09, 2018",2004,TV-Y7,131 min,"Comedy, Romance, Fantasy",Description for title 849
s850,Movie,Title 850,Director 180,Actor 51,"Australia, Mexico, Netherlands","October 14, 2024",2018,G,13 Seasons,"Romance, Fantasy",Description for title 850
s851,TV Show,Title 851,Director 44,Actor 59,"Germany, Turkey","June 06, 2018",1999,PG-13,117 min,"Animation, Horror, Documentary",Description for title 851
s852,Movie,Title 852,Director 147,Actor 33,Turkey,"October 03, 2024",2009,TV-PG,150 min,Thriller,Description for title 852
s853,TV Show,Title 853,Director 23,Actor 95,"South Korea, Germany, Mexico","January 07, 2018",1998,TV-Y,9 Seasons,"Thriller, Adventure, Horror",Description for title 853
s854,Movie,Title 854,Director 188,Actor 476,"Brazil, United States, South Korea","July 25, 2020",1995,R,4 Seasons,Thriller,Description for title 854
s855,Movie,Title 855,Director 90,Actor 88,France,"October 11, 2023",2009,TV-G,63 min,"Romance, Thriller, Adventure",Description for title 855
s856,Movie,Title 856,Director 93,Actor 315,"Netherlands, Germany, Canada","August 08, 2018",2010,TV-Y7,1 Seasons,Comedy,Description for title 856
s857,Movie,Title 857,Director 57,Actor 409,"Spain, Australia","May 11, 2025",1996,TV-14,12 Seasons,"Drama, Fantasy, Documentary",Description for title 857
s858,Movie,Title 858,Director 154,Actor 230,"Turkey, Japan","October 15, 2022",2023,TV-Y,11 Seasons,"Drama, Thriller, Horror",Description for title 858
s859,Movie,Title 859,Director 153,Actor 455,"Netherlands, Turkey","May 30, 2021",1992,R,74 min,"Romance, Animation, Action",Description for title 859
s860,TV Show,Title 860,Director 127,Actor 274,"Mexico, Turkey","September 05, 2022",2006,R,104 min,Animation,Description for title 860
s861,Movie,Title 861,Director 6,Actor 245,"South Korea, United States","November 29, 2022",1991,TV-G,10 Seasons,Thriller,Description for title 861
s862,Movie,Title 862,Director 169,Actor 110,United States,"March 05, 2024",2001,PG-13,1 Seasons,"Thriller, Crime",Description for title 862
s863,Movie,Title 863,Director 46,Actor 233,"South Korea, France, Mexico","July 04, 2021",2002,TV-MA,14 Seasons,"Documentary, Thriller, Fantasy",Description for title 863
s864,Movie,Title 864,Director 52,Actor 277,"Germany, Spain","April 13, 2025",2001,TV-PG,118 min,Comedy,Description for title 864
s865,Movie,Title 865,Director 186,Actor 476,"United Kingdom, Japan","April 22, 2023",2016,TV-G,53 min,"Documentary, Crime",Description for title 865
s866,Movie,Title 866,Director 37,Actor 416,"France, Mexico, Netherlands","November 29, 2021",2015,R,62 min,"Fantasy, Horror, Comedy",Description for title 866
s867,Movie,Title 867,Director 196,Actor 165,Japan,"November 07, 2021",1994,PG-13,4 Seasons,"Animation, Crime",Description for title 867
s868,TV Show,Title 868,Director 52,Actor 127,Netherlands,"August 23, 2022",2021,R,6 Seasons,"Animation, Romance",Description for title 868
s869,TV Show,Title 869,Director 142,Actor 236,United Kingdom,"October 26, 2025",2005,TV-MA,40 min,"Fantasy, Romance",Description for title 869
s870,Movie,Title 870,Director 153,Actor 493,"France, Canada","August 24, 2023",1999,PG,4 Seasons,"Comedy, Romance, Horror",Description for title 870
s871,Movie,Title 871,Director 47,Actor 290,"Australia, United States","August 25, 2023",2004,TV-Y,6 Seasons,"Crime, Comedy, Documentary",Description for title 871
s872,Movie,Title 872,Director 94,Actor 106,"United States, Australia","June 27, 2022",2000,PG-13,9 Seasons,"Drama, Romance, Documentary",Description for title 872
s873,Movie,Title 873,Director 146,Actor 127,"Germany, Canada, South Korea","June 09, 2025",1998,PG-13,9 Seasons,"Drama, Action, Thriller",Description for title 873
s874,Movie,Title 874,Director 136,Actor 194,"Netherlands, Turkey","October 05, 2021",2007,G,7 Seasons,"Documentary, Thriller",Description for title 874
s875,Movie,Title 875,Director 63,Actor 338,"United States, Turkey","April 09, 2024",2022,TV-G,122 min,"Action, Thriller, Fantasy",Description for title 875
s876,TV Show,Title 876,Director 92,Actor 393,"Brazil, Japan, Turkey","May 08, 2019",1998,TV-G,157 min,"Animation, Crime, Documentary",Description for title 876
s877,TV Show,Title 877,Director 181,Actor 474,Brazil,"October 15, 2022",2004,TV-PG,12 Seasons,Sci-Fi,Description for title 877
s878,Movie,Title 878,Director 124,Actor 142,"Mexico, Japan, United Kingdom","January 30, 2020",1990,TV-MA,4 Seasons,"Adventure, Action, Thriller",Description for title 878
s879,Movie,Title 879,Director 178,Actor 394,India,"February 17, 2021",2017,NC-17,158 min,"Romance, Thriller, Drama",Description for title 879
s880,Movie,Title 880,Director 38,Actor 110,"India, Japan","May 23, 2022",2022,TV-MA,111 min,Animation,Description for title 880
s881,TV Show,Title 881,Director 3,Actor 89,"Canada, Turkey, Spain","November 16, 2019",1990,R,151 min,"Comedy, Thriller, Horror",Description for title 881
s882,Movie,Title 882,Director 125,Actor 250,Italy,"April 03, 2023",1995,TV-PG,3 Seasons,Animation,Description for title 882
s883,Movie,Title 883,Director 2,Actor 279,"Canada, Germany","June 03, 2022",2000,PG-13,54 min,Thriller,Description for title 883
s884,TV Show,Title 884,Director 63,Actor 332,"Turkey, France","January 10, 2018",2016,R,169 min,"Thriller, Adventure, Crime",Description for title 884
s885,Movie,Title 885,Director 28,Actor 223,"South Korea, Turkey","November 13, 2017",1994,TV-G,50 min,Action,Description for title 885
s886,TV Show,Title 886,Director 115,Actor 100,Brazil,"December 23, 2019",1999,PG,109 min,Action,Description for title 886
s887,Movie,Title 887,Director 10,Actor 131,"United Kingdom, France","August 15, 2025",2017,PG-13,62 min,"Comedy, Sci-Fi, Crime",Description for title 887
s888,Movie,Title 888,Director 96,Actor 12,Germany,"December 28, 2022",2005,TV-MA,4 Seasons,"Horror, Comedy, Thriller",Description for title 888
s889,Movie,Title 889,Director 101,Actor 456,Mexico,"October 25, 2022",2015,PG-13,68 min,"Sci-Fi, Animation, Horror",Description for title 889
s890,TV Show,Title 890,Director 185,Actor 440,United Kingdom,"January 12, 2026",2017,TV-MA,124 min,"Horror, Drama",Description for title 890
s891,TV Show,Title 891,Director 154,Actor 496,"Spain, Turkey","July 27, 2018",2003,TV-G,126 min,"Fantasy, Horror, Documentary",Description for title 891
s892,TV Show,Title 892,Director 20,Actor 97,"Australia, Mexico, Turkey","September 25, 2021",2002,TV-MA,9 Seasons,"Horror, Adventure, Sci-Fi",Description for title 892
s893,Movie,Title 893,Director 38,Actor 119,"Australia, South Korea, Netherlands","November 12, 2018",1990,PG,156 min,Fantasy,Description for title 893
s894,TV Show,Title 894,Director 101,Actor 292,Australia,"April 24, 2018",2004,TV-G,40 min,"Animation, Action",Description for title 894
s895,Movie,Title 895,Director 45,Actor 303,"Mexico, Italy","January 05, 2023",2018,TV-Y7,116 min,"Horror, Action, Comedy",Description for title 895
s896,Movie,Title 896,Director 65,Actor 198,Japan,"August 22, 2023",2020,G,4 Seasons,"Adventure, Sci-Fi, Horror",Description for title 896
s897,TV Show,Title 897,Director 90,Actor 0,"India, France","March 01, 2023",2001,TV-G,14 Seasons,"Documentary, Comedy",Description for title 897
s898,Movie,Title 898,Director 163,Actor 59,"Turkey, Brazil","February 11, 2022",1994,TV-MA,155 min,Fantasy,Description for title 898
s899,Movie,Title 899,Director 110,Actor 249,"United Kingdom, Netherlands","February 28, 2022",2021,G,2 Seasons,Sci-Fi,Description for title 899
s900,Movie,Title 900,Director 81,Actor 139,Japan,"November 09, 2019",1999,TV-PG,123 min,"Documentary, Romance, Action",Description for title 900
s901,Movie,Title 901,Director 122,Actor 148,"United Kingdom, Canada, South Korea","February 24, 2019",1994,G,14 Seasons,"Sci-Fi, Comedy",Description for title 901
